swell_info,time,wind_direction,wind_speed,wind_state
"[{""period"":8,""angle"":-0.0,""letters"":""S"",""height"":1.0},{""period"":9,""angle"":311.0,""letters"":""SE"",""height"":0.9},{""period"":9,""angle"":239.0,""letters"":""ENE"",""height"":0.6},{""period"":2,""angle"":90.0,""letters"":""W"",""height"":-0.2}]",Saturday 29 8AM,W,10.0,off
"[{""period"":8,""angle"":-0.0,""letters"":""S"",""height"":1.4},{""period"":9,""angle"":310.0,""letters"":""SE"",""height"":0.8},{""period"":9,""angle"":239.0,""letters"":""ENE"",""height"":0.6},{""period"":8,""angle"":10.0,""letters"":""S"",""height"":2.2}]",Saturday 29 11AM,WSW,15.0,off
"[{""period"":9,""angle"":357.0,""letters"":""S"",""height"":1.7},{""period"":9,""angle"":309.0,""letters"":""SE"",""height"":0.6},{""period"":9,""angle"":233.0,""letters"":""NE"",""height"":0.5},{""period"":9,""angle"":5.0,""letters"":""S"",""height"":2.1}]",Saturday 29 2PM,WSW,10.0,off
"[{""period"":9,""angle"":357.0,""letters"":""S"",""height"":2.0},{""period"":9,""angle"":307.0,""letters"":""SE"",""height"":0.5},{""period"":9,""angle"":233.0,""letters"":""NE"",""height"":0.5},{""period"":9,""angle"":4.0,""letters"":""S"",""height"":2.5}]",Saturday 29 5PM,WSW,15.0,cross-off
"[{""period"":9,""angle"":225.0,""letters"":""NE"",""height"":0.4},{""period"":9,""angle"":297.0,""letters"":""ESE"",""height"":0.4},{""period"":10,""angle"":153.0,""letters"":""NNW"",""height"":-0.2},{""period"":9,""angle"":357.0,""letters"":""S"",""height"":2.2}]",Saturday 29 8PM,WSW,10.0,cross-off
"[{""period"":9,""angle"":304.0,""letters"":""SE"",""height"":0.4},{""period"":9,""angle"":225.0,""letters"":""NE"",""height"":0.4},{""period"":10,""angle"":180.0,""letters"":""N"",""height"":0.2},{""period"":9,""angle"":-0.0,""letters"":""S"",""height"":2.2}]",Saturday 29 11PM,WSW,10.0,cross-off
"[{""period"":9,""angle"":357.0,""letters"":""S"",""height"":1.9},{""period"":10,""angle"":304.0,""letters"":""SE"",""height"":0.4},{""period"":8,""angle"":225.0,""letters"":""NE"",""height"":0.3},{""period"":9,""angle"":5.0,""letters"":""S"",""height"":2.3}]",Sunday 30 2AM,WSW,5.0,off
"[{""period"":9,""angle"":353.0,""letters"":""S"",""height"":1.6},{""period"":9,""angle"":304.0,""letters"":""SE"",""height"":0.4},{""period"":9,""angle"":225.0,""letters"":""NE"",""height"":0.3},null]",Sunday 30 5AM,W,10.0,off
"[{""period"":8,""angle"":352.0,""letters"":""S"",""height"":1.4},{""period"":9,""angle"":304.0,""letters"":""SE"",""height"":0.4},{""period"":9,""angle"":236.0,""letters"":""NE"",""height"":0.4},null]",Sunday 30 8AM,NW,5.0,glass
"[{""period"":8,""angle"":351.0,""letters"":""S"",""height"":1.2},{""period"":9,""angle"":304.0,""letters"":""SE"",""height"":0.4},{""period"":9,""angle"":236.0,""letters"":""NE"",""height"":0.4},null]",Sunday 30 11AM,NE,10.0,cross-on
"[{""period"":8,""angle"":350.0,""letters"":""S"",""height"":1.1},{""period"":8,""angle"":304.0,""letters"":""SE"",""height"":0.4},{""period"":12,""angle"":225.0,""letters"":""NE"",""height"":0.1},{""period"":4,""angle"":203.0,""letters"":""NNE"",""height"":0.8}]",Sunday 30 2PM,NE,15.0,cross-on
"[{""period"":8,""angle"":347.0,""letters"":""SSE"",""height"":0.9},{""period"":9,""angle"":236.0,""letters"":""NE"",""height"":0.4},{""period"":8,""angle"":304.0,""letters"":""SE"",""height"":0.4},{""period"":4,""angle"":186.0,""letters"":""N"",""height"":0.9}]",Sunday 30 5PM,N,15.0,cross
"[{""period"":8,""angle"":339.0,""letters"":""SSE"",""height"":0.9},{""period"":9,""angle"":236.0,""letters"":""NE"",""height"":0.4},{""period"":10,""angle"":333.0,""letters"":""SSE"",""height"":0.2},{""period"":4,""angle"":197.0,""letters"":""NNE"",""height"":1.0}]",Sunday 30 8PM,N,10.0,cross
"[{""period"":8,""angle"":344.0,""letters"":""SSE"",""height"":0.7},{""period"":10,""angle"":333.0,""letters"":""SSE"",""height"":0.2},{""period"":14,""angle"":225.0,""letters"":""NE"",""height"":0.1},{""period"":5,""angle"":207.0,""letters"":""NNE"",""height"":1.3}]",Sunday 30 11PM,NNE,10.0,cross-on
